@relation artificial_weekday.arff

@attribute t1 numeric
@attribute t2 numeric
@attribute hum numeric
@attribute windspeed numeric
@attribute class {0,1}

@data
19,19,68,13,0
18,18,73,13,0
17.5,17.5,66,10,0
17,17,68,6.5,0
16,16,77,5,0
16,16,77,6,0
15.5,15.5,79.5,6,0
16.5,16.5,72.5,11,0
18,18,62,14,1
19.5,19.5,54.5,13,1
20,20,53,15,1
21.5,21,48.5,14,1
22.5,22,45.5,13,1
24,24,45.5,16,1
24,24,45.5,18.5,1
24.5,24.5,48.5,24,1
23,23,55,28,1
22.5,22.5,59,29,1
22,22,63,27,1
22,22,61,26,1
21,21,66.5,30.5,1
20,20,71,28,1
19.5,19.5,75.5,23,1
19,19,78,18.5,1
18.5,18.5,83,24,0
17,17,68,16,0
16,16,77,18,0
16,16,77,14,0
15,15,79.5,11,0
14.5,14.5,79.5,11,0
14,14,82,13,0
14.5,14.5,79.5,11,0
16.5,16.5,70,11,1
17.5,17.5,64,13,1
19,19,54,18,1
19.5,19.5,50.5,21,1
20.5,20.5,47.5,17,1
21.5,21,47,20.5,1
22,21,47,17,1
22.5,21.5,42.5,18,1
23,22.5,42.5,20,1
23,22,41,19.5,1
23,22,41,18,1
22.5,22,45.5,18.5,1
21.5,21,48.5,18,1
20.5,20.5,51.5,16,1
19.5,19.5,54.5,13,1
19,19,60,11,0
17.5,17.5,66,8,0
17,17,64,6.5,0
17,17,68,5,0
17.5,17.5,66,6.5,0
18,18,62,7.5,0
16.5,16.5,66,7,0
17,17,68,11,0
17,17,68,15,0
19,19,66,16,1
19.5,19.5,66,13,1
19,19,75.5,19.5,1
20,20,73,19.5,1
21.5,21.5,65,28.5,1
22.5,22.5,57,27,1
22.5,22.5,53,32,1
22.5,22.5,51.5,30.5,1
23,23,45.5,33,1
22.5,21.5,42.5,30.5,1
22,21,41,30,1
21.5,21,45,28.5,1
20.5,20.5,41.5,35,1
19.5,19.5,44.5,32.5,1
18,18,49,30,1
17,17,56,28.5,0
16.5,16.5,61,24,0
16,16,68,23,0
16,16,68,23,0
16,16,70,27,0
15.5,15.5,70,23,0
16,16,68,25,0
16,16,70,26,0
15.5,15.5,79.5,26,0
15.5,15.5,82.5,26,1
17,17,73,22,1
17.5,17.5,68.5,25,1
19,19,60,28,1
19,19,60,29,1
20,20,56,22.5,1
19.5,19.5,66.5,17.5,1
19.5,19.5,64,26,1
20,20,58.5,25,1
19.5,19.5,66,29.5,1
20,20,53,30,1
20,20,49,26,1
20,20,44.5,24,1
19,19,47.5,19.5,1
18,18,49,17,1
17,17,52,16,1
16,16,55,16,1
16,16,55,14,0
15.5,15.5,59,14,0
14,14,67,15,0
14,14,63,18.5,0
14,14,63,18,0
13,13,67,17,0
13,13,67,16,1
13.5,13.5,65,17,1
14.5,14.5,61,19,1
15,15,59,16,1
16.5,16.5,50.5,10,1
18,18,43,8.5,1
19,19,40.5,9,1
19.5,19.5,36,11,1
21,21,34,10,1
22,21,30,9,1
23,22,26,11,1
23,22,27,11,1
22.5,21.5,29,13,1
22,21,29,7,1
22,21,32,6.5,1
19.5,19.5,54.5,12,1
18.5,18.5,58,16,1
18,18,60,13,1
17,17,64,17,0
16.5,16.5,66,15,0
16,16,68,12,0
15,15,72,9,0
15,15,72,8,0
15,15,70,6.5,0
16,16,68,9,0
17.5,17.5,62,9,1
19.5,19.5,49,10,1
20.5,20.5,43,12,1
22,21,41,13,1
23,22,38,14,1
24,23,34,15,1
25,24,31,17,1
25.5,24.5,28,15,1
26,25,23.5,14,1
26,25,25,18,1
25.5,24.5,26,18,1
24.5,23.5,26.5,15,1
24,23,32.5,15,1
23,22,38,13,1
22.5,21.5,41,10,1
21,21,57,11,1
20,20,58,13,1
18,18,83,19,0
18,18,83,17,0
18,18,83,17,0
17.5,17.5,85.5,16,0
18,18,83,15,0
18,18,83,10,0
17.5,17.5,85.5,16,1
17,17,88,16,1
17.5,17.5,85.5,15,1
18,18,88,13,0
19,19,85.5,18,0
19,19,88,20,1
20,20,83,22,1
20.5,20.5,75.5,26,1
21,21,73,24,1
21,21,69,25,1
21,21,69,24,1
20,20,78,28,1
20,20,78,21,1
20,20,78,21,1
19,19,88,24,0
19,19,83,26.5,0
19,19,78,27.5,0
19,19,78,26,0
19,19,78,20,0
18.5,18.5,80.5,19,0
18,18,80.5,20,0
18,18,83,18,0
18,18,80.5,19.5,0
17.5,17.5,83,17,0
18,18,83,15,1
18,18,78,15,1
19,19,73,18,1
19,19,75.5,16,1
19,19,78,12,1
20,20,71,16,1
20,20,69,16,1
21,21,66.5,17,1
21,21,69,18,1
21.5,21.5,67,16,1
22,22,61,15,1
22,22,61,16,1
21.5,21.5,69,12,1
19,19,91,11,1
19,19,88,8,1
19,19,88,12,0
19,19,88,11,0
18,18,94,13,0
18,18,91,12,0
18,18,88,13,0
18,18,88,13,0
18,18,88,12,0
18,18,94,10,0
18,18,94,12,0
18.5,18.5,91,13,1
19,19,88,11,1
19.5,19.5,85.5,13,1
21.5,21.5,73.5,16,1
19,19,85.5,17,1
18.5,18.5,83,19,1
18.5,18.5,80.5,15,1
19.5,19.5,75.5,12,1
21,21,69,15,1
22,22,61,12,1
22,22,61,12,1
22,22,61,8.5,1
22,22,61,9,1
21.5,21.5,58.5,8,1
21,21,58.5,7.5,1
20.5,20.5,58.5,7,1
19.5,19.5,58,8,0
18,18,60,7,0
17,17,66,6,0
18,18,78,11.5,0
18,18,83,20,0
18,18,78,19,0
18,18,73,17.5,0
18,18,78,16,0
18.5,18.5,73,20.5,1
19,19,68,25,1
20.5,20.5,62,28,1
20,20,62,29.5,1
22,22,57,26,1
22,22,57,25,1
22,22,57,27,1
23.5,23.5,55.5,24,1
23.5,23.5,55.5,25,1
23,23,57.5,27,1
21,21,60,27,1
21,21,60,28.5,1
20.5,20.5,62,27,1
20,20,64,29.5,1
19,19,64,28.5,1
19,19,68,23.5,1
18.5,18.5,73,11,0
18,18,73,11,0
18,18,70.5,9,0
17,17,75,7.5,0
17,17,75,6,0
17,17,77,8,0
17,17,77,12,0
18.5,18.5,80.5,22,0
20,20,78,23,1
20.5,20.5,71,22,1
21,21,69,23,1
22,22,65,20.5,1
22.5,22.5,59,25,1
23.5,23.5,55.5,25,1
24,24,47,30,1
24.5,24.5,44,29.5,1
24,24,45.5,30.5,1
23,23,48.5,28,1
22,22,50,24,1
22,22,53,21,1
21.5,21.5,55,21,1
20.5,20.5,58.5,19.5,1
19.5,19.5,62,19.5,1
19,19,62,20.5,1
18.5,18.5,54,21.5,1
18,18,70.5,9,0
17.5,17.5,75,5,0
17,17,77,5.5,0
17,17,77,6.5,0
17,17,77,5.5,0
17,17,77,5,0
18,18,75.5,6.5,0
18,18,75.5,7,1
17.5,17.5,77.5,7.5,1
17,17,85.5,7.5,1
17.5,17.5,91,8,1
19.5,19.5,83,8,1
21,21,78,13,1
23,23,71.5,25,1
23,23,71.5,24,1
22,22,75.5,23,1
21,21,83,23,1
21,21,83,19.5,1
20.5,20.5,78,24,1
20,20,78,25,0
19.5,19.5,75.5,23,0
18.5,18.5,62,31.5,0
17,17,70.5,22,0
17,17,70.5,23,0
16,16,77,18.5,0
16,16,77,17,0
16,16,77,18,0
16,16,74.5,18.5,0
17.5,17.5,66,19.5,1
19,19,64,24,1
19.5,19.5,62,24,1
21.5,21.5,53.5,20,1
22.5,22.5,51.5,18.5,1
24,24,45.5,25,1
24.5,24.5,44.5,21,1
25.5,25.5,40.5,21,1
24.5,24.5,40,26,1
25,25,36,27,1
24.5,24.5,38.5,29,1
23.5,23.5,42.5,28,1
22.5,22.5,53.5,26,1
21,21,60,21.5,1
20,20,64,18.5,1
19,19,66,20,1
19,19,64,20,0
18.5,18.5,66,15,0
17.5,17.5,72.5,14,0
17,17,77,15,0
16.5,16.5,77,13,0
16,16,77,10,0
16,16,77,9,0
17,17,73,13,0
18.5,18.5,66,16,1
19,19,64,20.5,1
20.5,20.5,58.5,19.5,1
21,21,53.5,19.5,1
22,21.5,48.5,21,1
22.5,22,45.5,23,1
22.5,22,47,24,1
21.5,21,50,24,1
21.5,21,50,28,1
19,19,62,24,1
20,20,60.5,19,1
21,21,57,16,1
20.5,20.5,58.5,15,1
19.5,19.5,54.5,17,1
19,19,56,16,1
19,19,54,15.5,1
18.5,18.5,58,19,0
17.5,17.5,62,14,0
16.5,16.5,66,16,0
15.5,15.5,70,10,0
14.5,14.5,74.5,11,0
14,14,77,13,0
13.5,13.5,79.5,14,0
14,14,77,14,0
15,15,72,13,1
16.5,16.5,66,14,1
17,17,64,14,1
18,18,60,14,1
18.5,18.5,56,14,1
20,20,47.5,14,1
20.5,20.5,44.5,15,1
21.5,21,40.5,18,1
21,21,41.5,17,1
21,21,43,18.5,1
21.5,21,39,15,1
21,21,40,14,1
21,21,40,14,1
20,20,43,13,1
20,20,47.5,8,1
19,19,54,11,1
19,19,52,7,0
18.5,18.5,52.5,8,0
18,18,56,7.5,0
17.5,17.5,56,6,0
17,17,59,5.5,0
17,17,59,6,0
17,17,59,6.5,0
17,17,59,8.5,0
16.5,16.5,63.5,11,1
17,17,64,11,1
17,17,70.5,10,1
17,17,70.5,8,0
16.5,16.5,80,7,0
16,16,77,7.5,0
16,16,83,13,0
15,15,88,19,0
15,15,88,19.5,0
14,14,91,14,0
14,14,94,17,1
14,14,91,19,1
14.5,14.5,88,16,0
14,14,94,15,0
14,14,88,15,0
14,14,88,14,0
14,14,91,11,0
16,16,83,24,0
16,16,83,23,0
16,16,83,23,0
16,16,83,22,0
16,16,83,26,0
16,16,83,27,0
16.5,16.5,80,26,0
17,17,77,26,1
17.5,17.5,75,30.5,1
17,17,77,30,1
19,19,64,24,1
19,19,64,30.5,1
20.5,20.5,58.5,27,1
20.5,20.5,54.5,33,1
21,21,50,32,1
20,20,49,37,1
19.5,19.5,50.5,35,1
19,19,52,30.5,1
19,19,52,31,1
18,18,56,31,1
18,18,56,28,1
17,17,59,28,1
16,16,68,26,0
16,16,72,26.5,0
16,16,72,28.5,0
16,16,72,31,0
15.5,15.5,74.5,30.5,0
15,15,77,27,0
15,15,74.5,26,0
15,15,72,29.5,0
14,14,77,22,0
15.5,15.5,70,27,1
16.5,16.5,61,33,1
17,17,56,34,1
17.5,17.5,54,31.5,1
18.5,18.5,50.5,34,1
19,19,49,32.5,1
19.5,19.5,46,37,1
20,20,43,29,1
20,20,43,28,1
20,20,43,31,1
20,20,43,28,1
19,19,49,25.5,1
18,18,47.5,27,1
17,17,56,20.5,1
16,16,63,16,1
16,16,55,20,0
15,15,63,20,0
14.5,14.5,65,20.5,0
14,14,67,19.5,0
13,13,77,20,0
12.5,12.5,79.5,18,0
12,12,77,19,0
12,12,79.5,19.5,0
12,12,77,17,0
13.5,13.5,69.5,19,1
14.5,14.5,65,20.5,1
16,16,59.5,22,1
16.5,16.5,53.5,21,1
17.5,17.5,50.5,24,1
18,18,47.5,21.5,1
18,18,49,19,1
18.5,18.5,47.5,22,1
19,19,46,20,1
19,19,46,19,1
19,19,46,19.5,1
18,18,54,22,1
18,18,54,18.5,1
17,17,60,21.5,1
16,16,63,16,1
16,16,63,17,0
15.5,15.5,65.5,16,0
15,15,70,14,0
15,15,68,14,0
15,15,68,15,0
14,14,72,15,0
14,14,72,15,0
13,13,74.5,14,0
13,13,72,12,0
14,14,67,17.5,1
15,15,61,19,1
15.5,15.5,59,20.5,1
16,16,57,18,1
16.5,16.5,55.5,19.5,1
17,17,54,19,1
17,17,52,19,1
18,18,52,19,1
19,19,43,14,1
19,19,43,15,1
18,18,50.5,14,1
18,18,50.5,13,1
18,18,49,9,1
17,17,56,15,1
16,16,61,12,1
15,15,68,9,1
14.5,14.5,70,5,0
14,14,74.5,6,0
14,14,72,3,0
13,13,82,5,0
12,12,88,6,0
11.5,11.5,85,6,0
11,11,88,6,0
11.5,11.5,82,4,0
13.5,13.5,79.5,6,1
15.5,15.5,67.5,6,1
16,16,63,7,1
18.5,18.5,50.5,7.5,1
18.5,18.5,49,6.5,1
21,21,38,12,1
20.5,20.5,38,8,1
21,20.5,35.5,6.5,1
21.5,21,40.5,11,1
21.5,21,40.5,13,1
21,21,41.5,10,1
20.5,20.5,44.5,12,1
20,20,46,14,1
19,19,49,13,1
18,18,49,11,1
17.5,17.5,50.5,9,1
16.5,16.5,53.5,8,0
18,18,64,20,0
18,18,68,7.5,0
18,18,66,9,0
17.5,17.5,68,6,0
18,18,66,5,0
18,18,66,8.5,0
18.5,18.5,70.5,16,0
19,19,75.5,20,1
20,20,73,18.5,1
21,21,69,24,1
22,22,65,22,1
22.5,22.5,61,23,1
23,23,57,25,1
24,24,54,26,1
23,23,61,27,1
22.5,22.5,63,26,1
21,21,73,24,1
20.5,20.5,71,20.5,1
20,20,69,21,1
19.5,19.5,71,18,1
19,19,68,16,1
18.5,18.5,75.5,13,1
17,17,83,12,0
17.5,17.5,80.5,15,0
17,17,80,14,0
17,17,77,16,0
17,17,77,18,0
16.5,16.5,80,14,0
16,16,77,19,0
15,15,79.5,15,0
15,15,77,17,0
16.5,16.5,68,23,1
17.5,17.5,62,25,1
18.5,18.5,54,30.5,1
20.5,20.5,47.5,29.5,1
21,21,46,27,1
19.5,19.5,54.5,27,1
20,20,53,26,1
20.5,20.5,47.5,27,1
21,21,44.5,30.5,1
21.5,21,45,25,1
21,21,46,29,1
20,20,49,26,1
19.5,19.5,47.5,26,1
18,18,56,28,1
17,17,64,20,1
17,17,64,20.5,0
16,16,68,17,0
16,16,68,12,0
16,16,72,11,0
16,16,72,10,0
16,16,72,9,0
16,16,72,9,0
16,16,72,11,0
16,16,77,13,0
17,17,73,9,1
17.5,17.5,68.5,10,1
19,19,60,8,1
20,20,54.5,12,1
21,21,51.5,13,1
21.5,21.5,50,13,1
21,21,50,12,1
21,21,50,16,1
21,21,50,15,1
21.5,21,45,15,1
21,21,51.5,12,1
19.5,19.5,58,17,1
19,19,64,12,1
18,18,75.5,8,1
17,17,80,5,1
17,17,83,6.5,1
17,17,80,7,0
17.5,17.5,75,7.5,0
17,17,75,7.5,0
17.5,17.5,68.5,11,0
17,17,68,13,0
18,18,64,10,0
17,17,75,11,0
18,18,78,11,1
18,18,80.5,10,1
19,19,78,12,1
18.5,18.5,85.5,17.5,1
20,20,69,19.5,1
20,20,71,17,1
20.5,20.5,69,18.5,1
22.5,22.5,59,19.5,1
23,23,57,19,1
23,23,53,20,1
23,23,53,19.5,1
22.5,22.5,55,17.5,1
21.5,21.5,58.5,20,1
20,20,62,19.5,1
19.5,19.5,64,18,1
18.5,18.5,66,13,1
18,18,68,13,1
17,17,73,13,1
16.5,16.5,75,11,0
16,16,77,9,0
15.5,15.5,79.5,6.5,0
15,15,79.5,6.5,0
14.5,14.5,79.5,5.5,0
14.5,14.5,79.5,5,0
15,15,70,4,0
16,16,65.5,5,1
18.5,18.5,62,6,1
19.5,19.5,60,5,1
21,21,58.5,7,1
21.5,21.5,55,7.5,1
23,23,47,6,1
23,23,47,7.5,1
23,23,44,6.5,1
24,24,42.5,5.5,1
25,25,39,7,1
25,25,39,9,1
24,24,44,6.5,1
23,23,50,11,1
21,21,65,18.5,1
18.5,18.5,80.5,24,1
18,18,83,19.5,1
17.5,17.5,83,16,1
18.5,18.5,80.5,17.5,0
18,18,83,19.5,0
18,18,83,17.5,0
18,18,83,17,0
18,18,83,17,0
18,18,83,18,0
18.5,18.5,80.5,19,0
19,19,80.5,15,1
20,20,75.5,15,1
20.5,20.5,73.5,17,1
22,22,65,17,1
22,22,65,19.5,1
23.5,23.5,63,15,1
23,23,65,19.5,1
23,23,65,19.5,1
23.5,23.5,63,21,1
22,22,69,28,1
22,22,65,24,1
21,21,71,21.5,1
21,21,73,18,1
20.5,20.5,75.5,17,1
20,20,75.5,15,1
19,19,78,13,0
19,19,78,14,0
18.5,18.5,69.5,13,0
18,18,60,12,0
17.5,17.5,62,11,0
17,17,68,11,0
16.5,16.5,66,9,0
16,16,68,6.5,0
16,16,72,5,0
16,16,70,3,1
16.5,16.5,66,6,1
17,17,66,5,1
17.5,17.5,62,3,1
19,19,54,6,1
19.5,19.5,50.5,6,1
20.5,20.5,49.5,5,1
21,21,50,5.5,1
21,21,50,7,1
21,21,51.5,6.5,1
20,20,60,9,1
20,20,62,9,1
19,19,70.5,9,1
18.5,18.5,75.5,8.5,1
18,18,83,6.5,0
18,18,83,7,0
17.5,17.5,80.5,9,0
17,17,85.5,9,0
17,17,83,9,0
17,17,83,7,0
16,16,88,9,0
16,16,85.5,8,0
16,16,83,8,0
16,16,83,7,0
16,16,83,10,1
17,17,77,12,1
17.5,17.5,72.5,15,1
18.5,18.5,64,18.5,1
20,20,60,25,1
20.5,20.5,60,25,1
21,21,60,21.5,1
21,21,58.5,23,1
21,21,60,22,1
21,21,60,21,1
21,21,58.5,25,1
21,21,57,23,1
20,20,58,21.5,1
20,20,58,23,1
19,19,64,24,1
18,18,73,18,1
17.5,17.5,75,18,0
17,17,77,16,0
17,17,83,17.5,0
17,17,83,18,0
17,17,88,17,0
17,17,88,12,0
17,17,88,10,0
18,18,88,14.5,0
18,18,88,20,1
19,19,83,24,1
20,20,78,20,1
20,20,78,17,1
20.5,20.5,78,17,1
19,19,88,20.5,0
19,19,88,21,0
19,19,88,16,0
19.5,19.5,85.5,18,0
21,21,80.5,16,1
21,21,78,16,1
21,21,78,13,1
20.5,20.5,80.5,9,1
20,20,83,9,1
19,19,88,6.5,1
19,19,88,6,0
19,19,88,9.5,0
19,19,88,6.5,0
18,18,94,5,0
19,19,88,4,0
19,19,94,0,0
18.5,18.5,97,6.5,0
19,19,94,5,0
19,19,94,5,0
19,19,94,9,1
19,19,94,14,1
20,20,83,16,1
21.5,21.5,71,20,1
21,21,71,19,1
21.5,21.5,67,20.5,1
22,22,65,23,1
21,21,71,19.5,1
20,20,78,19,1
20,20,80.5,18.5,1
18,18,91,18.5,1
17,17,94,14,1
17,17,91,13,1
17,17,91,12,0
17,17,88,12,0
17,17,88,10,0
17,17,88,11,0
16,16,70,7.5,0
16,16,68,5,0
16,16,68,4,0
15.5,15.5,74.5,5.5,0
14.5,14.5,79.5,5.5,0
14,14,82,5,0
14,14,74.5,6.5,0
14,14,74.5,3,1
15.5,15.5,63.5,8,1
17,17,52,12,1
18,18,50.5,11,1
19,19,44.5,12,1
19.5,19.5,40,13,1
20,20,40,13,1
20,20,40,16,1
20,20,41.5,13,1
21,21,40,11,1
21,21,40,12,1
20,20,44.5,15,1
20,20,46,12,1
19.5,19.5,49,11,1
19,19,52,9,1
19,19,52,11,0
19,19,52,11,0
18,18,56,9,0
18,18,56,8,0
17.5,17.5,57.5,12,0
17,17,59,15,0
17,17,59,14,0
16.5,16.5,61,14,0
16.5,16.5,61,14,0
16,16,63,15,1
16,16,63,15,1
16.5,16.5,61,16,1
16,16,65.5,18,1
17,17,64,19.5,1
17.5,17.5,57.5,20,1
18,18,58,20.5,1
18.5,18.5,58,20,1
19,19,50.5,20,1
19,19,50.5,22,1
19,19,54,22,1
19,19,58,16,1
19,19,60,19,1
18,18,64,17.5,1
18,18,64,11,1
18,18,64,15,0
18,18,64,15,0
17.5,17.5,70.5,14,0
17,17,73,14,0
16.5,16.5,70,13,0
16,16,72,13,0
16,16,72,13,0
15,15,77,12,0
15,15,77,13,0
16.5,16.5,72.5,15,1
17.5,17.5,70.5,14,1
19,19,62,17.5,1
20,20,54.5,18,1
21,21,53,17,1
21,21,53,16,1
21,21,53,17,1
21,21,53,19.5,1
21,21,55,22,1
20,20,60,22,1
19,19,62,20,1
18.5,18.5,66,17,1
17,17,77,13,1
17,17,77,11,1
16,16,88,13,0
16,16,88,10,0
16,16,88,8,0
16,16,88,10,0
16,16,91,10,0
16,16,94,11,0
16.5,16.5,91,11,0
17,17,88,10,0
17,17,91,10,0
17,17,94,7,0
18,18,88,8.5,1
18,18,88,11,1
19,19,83,17,1
19,19,78,14,1
20,20,73,13,1
21,21,66.5,14,1
21,21,69,19,1
21,21,69,14,1
21.5,21.5,69,19,1
21.5,21.5,69,19.5,1
21,21,75.5,19.5,1
21,21,78,15,1
20,20,78,17,1
20,20,80.5,17,1
20,20,83,16,1
19.5,19.5,85.5,13,0
20,20,83,16,0
20,20,83,15,0
19,19,88,17,0
19,19,88,12,0
19,19,83,14,0
19,19,83,13,0
19,19,83,10,0
19,19,85.5,10,0
19.5,19.5,85.5,9,1
20.5,20.5,80.5,11,1
22,22,73,14,1
22.5,22.5,69,16,1
24,24,61,20.5,1
25,25,57,17,1
26,26,51,22,1
25.5,25.5,52.5,23,1
26,26,51,22,1
25.5,25.5,51,22,1
26,26,48,20,1
25,25,54,16,1
24,24,57,12,1
22.5,22.5,61,10,1
22,22,65,8,1
20.5,20.5,71,9,1
20,20,73,7,1
15,15,82,6.5,0
15,15,85,5,0
14.5,14.5,88,8,0
15,15,85,7.5,0
14.5,14.5,88,7.5,0
15,15,88,10,0
15,15,94,7,0
15,15,91,8,1
16,16,88,11,1
16,16,88,19.5,0
15,15,94,16,0
15.5,15.5,91,9,0
16.5,16.5,91,14,0
17,17,88,16,0
18,18,83,14,0
17,17,88,12,0
17,17,88,14,0
16,16,91,16,1
17,17,85.5,15,1
17,17,83,19,1
16,16,85.5,18.5,0
16,16,83,21.5,0
15.5,15.5,85.5,23,0
15.5,15.5,85.5,23,0
15,15,85,22,0
15,15,88,23,0
15,15,79.5,23,0
14.5,14.5,82.5,20,0
14,14,85,20.5,0
13,13,88,18.5,0
13,13,82,17,0
13.5,13.5,79.5,18,1
15.5,15.5,70,17,1
16.5,16.5,63.5,19.5,1
17.5,17.5,66,22,1
18,18,64,24,1
17.5,17.5,64,20,1
15.5,15.5,85.5,16.5,0
15.5,15.5,88,17,0
16,16,88,18,0
17,17,88,17,1
19,19,85.5,17.5,1
19.5,19.5,78,24,1
18.5,18.5,78,24,1
18,18,78,24,1
18,18,78,24,0
17,17,80,17,0
17,17,80,19,0
17,17,83,18,0
17,17,85.5,11,0
18,18,85.5,14,0
18,18,88,21,0
18.5,18.5,85.5,22,0
18.5,18.5,83,26,0
19,19,78,25,0
19,19,78,25,1
19,19,78,27,1
19,19,83,25,1
18.5,18.5,83,22,0
18,18,85.5,14,0
20,20,78,31,0
20.5,20.5,75.5,28.5,0
20,20,78,33,0
19,19,85.5,24,0
18,18,88,20.5,1
19,19,80.5,23,1
19,19,73,24,1
18,18,73,22,1
17,17,73,20.5,1
16,16,77,17,0
16,16,80,17,0
16,16,80,17,0
15.5,15.5,85.5,15,0
15.5,15.5,85.5,14,0
16,16,83,15,0
15,15,88,14,0
15.5,15.5,85.5,14,0
15,15,85,12,0
15,15,82,14,0
16,16,80,15,1
16.5,16.5,80,14,1
17,17,75,19.5,1
17.5,17.5,72.5,24,1
18,18,64,25,1
18.5,18.5,58,28,1
19,19,56,24,1
19,19,56,23,1
20,20,51,26,1
19.5,19.5,50.5,24,1
19,19,52,24,1
18.5,18.5,58,15,1
16,16,80,16.5,1
15.5,15.5,79.5,10,1
15,15,82,9,1
15,15,82,12,0
15,15,82,13,0
15,15,82,12,0
14.5,14.5,85,11,0
14,14,88,8,0
13.5,13.5,88,11,0
13,13,88,10,0
13,13,88,8,0
12.5,12.5,85,8,0
13.5,13.5,82,10,1
15.5,15.5,74.5,13,1
17.5,17.5,64,18.5,1
18,18,58,18.5,1
19.5,19.5,50.5,20.5,1
20,20,49,21,1
20,20,49.5,25,1
20,20,51,19.5,1
20,20,49,22,1
21,21,46,22.5,1
21,21,41.5,22,1
20,20,47.5,21,1
19,19,54,23,1
17.5,17.5,64,17,1
17,17,73,16,1
16,16,74.5,11,0
16,16,74.5,11,0
15,15,88,10,0
15,15,88,11,0
15,15,85,12,0
15,15,85,10,0
15,15,88,8,0
15,15,85,11,0
15,15,82,10,0
15,15,82,14,1
15,15,82,11,1
15.5,15.5,79.5,13,1
15.5,15.5,77,11,0
15.5,15.5,77,12,0
16,16,83,7,1
16.5,16.5,72.5,9,1
16.5,16.5,75,9,1
17.5,17.5,66.5,10,1
17.5,17.5,64,7,1
18.5,18.5,54,7.5,1
15.5,15.5,77,14,1
15,15,79.5,7,1
15,15,82,6,1
14,14,88,6,0
14,14,88,6,0
14,14,88,6.5,0
14,14,88,6.5,0
13,13,85,7,0
13,13,88,5.5,0
12.5,12.5,91,7.5,0
12,12,88,8,0
11.5,11.5,85,9,0
11.5,11.5,91,9,0
12,12,88,10,1
13,13,85,11,1
14.5,14.5,77,10,1
15.5,15.5,70,11,1
15.5,15.5,70,15,1
17,17,59.5,13,1
17.5,17.5,57.5,12,1
17.5,17.5,54,10,1
17.5,17.5,54,19,1
17,17,56,15,1
17,17,56,8,1
17,17,54,6.5,1
16.5,16.5,59.5,11,1
15,15,70,8,1
14.5,14.5,75,9.5,0
14,14,77,13,0
14,14,79.5,11,0
14,14,77,8,0
14,14,77,10,0
13,13,82,13,0
12.5,12.5,79.5,10,0
12,12,82,12,0
11.5,11.5,82,13,0
11,11,85,9,0
12,12,82,15,1
13,13,77,15,1
14,14,67,20,1
14,14,67,16,1
14.5,14.5,65,18,1
15,15,65.5,16,1
16,16,59,14,1
15.5,15.5,57,9,1
16,16,55,7,1
17,17,49,17,1
15.5,15.5,57,16,1
15,15,59,10,1
14,14,65.5,18,1
13.5,13.5,69.5,9,1
14,14,63,11,0
14,14,63,13,0
13.5,13.5,65,12,0
13,13,69.5,10,0
12,12,77,8,0
13,13,72,12,0
12.5,12.5,74.5,12,0
13,13,72,14,0
12.5,12.5,74.5,13,0
13,13,74.5,11,0
13,13,77,13,1
13,13,77,14,1
14,14,69.5,15,1
15.5,15.5,63,14,1
15,15,63,17,1
16,16,59,19,1
16,16,59,16,1
15.5,15.5,61,17,1
16,16,55,16,1
16,16,55,16,1
16,16,55,17,1
15.5,15.5,55.5,12,1
15,15,59,15,1
15,15,59,11,1
14.5,14.5,61,7,0
14,14,63,8,0
14,14,63,8,0
14,14,72,10,0
13,13,74.5,9,0
13,13,77,8,0
12,12,82,8,0
11,11,82,7,0
11,11,88,7,0
11,11,82,8,0
11.5,11.5,85,8,1
12.5,12.5,77,8,1
14,14,72.5,6.5,1
15.5,15.5,68,7.5,1
17,17,64,10,1
17,17,64,15,1
17,17,61.5,17,1
16,16,68,13,1
16,16,68,15,1
16.5,16.5,66,12,1
17,17,64,15,1
17,17,64,10,1
16,16,63,11,1
15,15,68,9,1
14.5,14.5,70,9,0
13.5,13.5,74.5,6.5,0
13,13,77,6,0
13,13,77,5,0
13,13,82,6,0
13,13,79.5,7,0
12.5,12.5,79.5,6.5,0
12,12,82,4,0
11,11,88,2,0
11,11,88,3.5,0
11.5,11.5,85,6,1
12.5,12.5,82.5,10,1
13,13,79.5,11,1
14,14,74.5,10,1
14.5,14.5,72,6,1
15,15,70,7,1
15.5,15.5,65.5,9,1
16,16,63,11,1
16,16,59,8,1
16.5,16.5,59.5,11,1
16,16,61,15,1
16,16,61,15,1
16,16,63,9,1
16,16,68,11,1
15.5,15.5,70,11,0
15,15,74.5,8,0
15,15,77,9,0
15,15,72,6.5,0
15,15,72,12,0
14,14,77,12,0
14,14,77,9,0
14,14,79.5,8,0
13.5,13.5,85,9,0
13,13,88,7,0
14,14,82,8,1
14,14,82,6.5,1
14.5,14.5,79.5,7,1
15.5,15.5,79.5,8,1
16.5,16.5,75,12,1
17.5,17.5,58,20.5,1
19,19,52,25,1
19,19,54,23,1
19,19,50.5,25,1
19,19,50.5,27,1
18,18,54,24,1
17.5,17.5,62,23,1
17,17,66,19.5,1
16,16,74.5,17,1
15.5,15.5,79.5,15,1
15,15,82,8,0
14,14,88,6,0
13.5,13.5,85,6,0
13.5,13.5,85,5,0
13,13,88,6,0
13,13,88,3,0
12.5,12.5,91,5,0
12,12,94,4,0
12.5,12.5,91,2,0
13.5,13.5,88,2,1
